Benchmark;Baseline run time (seconds);VMCalls;VMCalls / second;VMCall arg fixups;VMCall arg fixups / second;Allocations;Allocations / second;Allocated pages;Allocated pages / second;Average pages per allocation;TLB read accesses;TLB read misses;TLB read miss / second;TLB read miss rate;TLB write accesses;TLB write misses;TLB  write miss / second;TLB write miss rate;Baseline  TLB accesses;Baseline TLB misses;Baseline TLB misses / second;Baseline TLB miss rate;Dangless   TLB  accesses;Dangless  TLB  misses;Dangless TLB misses / second;Dangless TLB miss rate;Dangless TLB miss rate increase;Dangless extra TLB misses / second;Dangless runtime  overhead;Oscar runtime overhead
401.bzip2;1023,816;59;0,06;43;0,04;29;0,03;222.340;217,17;7.666,90;881.017.539.869;5.914.309;5.777;0,0007%;283.434.181.163;10.871.492;10.619;0,0038%;1.164.674.283.260;6.439.744;6.289,94;0,0006%;1.164.451.721.032;16.785.801;16.395,33;0,0014%;160,71%;10.105;1,30%;0,00%
403.gcc;479,326;3.413;7,12;500;1,04;3.266.597;6.814,98;29.859.144;62.294,02;9,14;157.075.651.976;308.433.886;643.474;0,1964%;63.076.459.965;225.156.618;469.736;0,3570%;216.792.387.052;103.974.255;216.917,62;0,0480%;220.152.111.941;533.590.504;1.113.210,02;0,2424%;405,36%;896.292;15,20%;25,00%
429.mcf;471,984;904;1,92;897;1,90;8;0,02;429.080;909,10;53.635,00;390.420.470.617;12.923.432.766;27.381.082;3,3101%;96.527.067.511;61.736.498;130.802;0,0640%;486.101.014.327;6.063.226.221;12.846.253,73;1,2473%;486.947.538.128;12.985.169.264;27.511.884,44;2,6666%;113,79%;14.665.631;11,50%;0,00%
433.milc;681,409;1.901;2,79;60;0,09;6.515;9,56;21.568.380;31.652,62;3.310,57;1.017.783.158.955;3.821.090.496;5.607.631;0,3754%;182.072.722.113;507.550.192;744.854;0,2788%;1.191.209.244.053;2.027.552.682;2.975.529,65;0,1702%;1.199.855.881.068;4.328.640.688;6.352.485,35;0,3608%;111,95%;3.376.956;10,70%;5,50%
444.namd;821,979;2.034;2,47;1.915;2,33;1.328;1,62;12.830;15,61;9,66;2.426.657.522.269;7.359.155;8.953;0,0003%;882.137.330.043;2.238.628;2.723;0,0003%;3.308.709.718.868;3.419.009;4.159,48;0,0001%;3.308.794.852.312;9.597.783;11.676,43;0,0003%;180,71%;7.517;0,40%;0,00%
445.gobmk;748,740;2.138;2,86;366;0,49;221.456;295,77;303.303;405,08;1,37;459.981.685.570;174.336.157;232.839;0,0379%;145.626.852.176;23.716.781;31.676;0,0163%;605.544.450.715;125.207.373;167.224,10;0,0207%;605.608.537.746;198.052.938;264.514,97;0,0327%;58,16%;97.291;2,50%;0,50%
447.dealII;1961,820;48.185;24,56;8.851;4,51;151.258.916;77.101,32;154.169.948;78.585,16;1,02;5.023.320.697.428;6.120.687.410;3.119.903;0,1218%;3.132.026.431.431;1.303.572.939;664.471;0,0416%;8.104.324.906.348;306.075.576;156.016,14;0,0038%;8.155.347.128.859;7.424.260.349;3.784.373,87;0,0910%;2310,45%;3.628.358;7,40%;190,00%
450.soplex;558,581;3.714;6,65;3.662;6,56;235.192;421,05;9.086.470;16.267,06;38,63;473.433.390.160;929.173.195;1.663.453;0,1963%;156.550.052.232;182.700.773;327.080;0,1167%;629.702.474.581;563.916.415;1.009.551,73;0,0896%;629.983.442.392;1.111.873.968;1.990.533,10;0,1765%;97,08%;980.981;3,00%;4,00%
453.povray;420,569;26.434;62,85;26.306;62,55;2.428.028;5.773,20;2.443.829;5.810,77;1,01;1.019.535.240.207;310.107.753;737.353;0,0304%;436.182.561.591;33.637.582;79.981;0,0077%;1.454.867.949.096;270.986.762;644.333,66;0,0186%;1.455.717.801.798;343.745.335;817.333,98;0,0236%;26,78%;173.000;0,00%;5,00%
456.hmmer;1576,148;85;0,05;76;0,05;1.000.144;634,55;1.016.220;644,75;1,02;3.341.708.084.759;11.582.735;7.349;0,0003%;423.413.200.937;14.156.935;8.982;0,0033%;3.764.673.732.429;767.857;487,17;0,0000%;3.765.121.285.696;25.739.670;16.330,74;0,0007%;3251,75%;15.844;2,30%;0,70%
458.sjeng;826,666;3.435;4,16;382;0,46;6;0,01;43.950;53,17;7.325,00;1.504.281.968.627;2.099.577.293;2.539.813;0,1396%;467.934.478.422;36.888.250;44.623;0,0079%;1.972.057.067.504;889.057.549;1.075.473,71;0,0451%;1.972.216.447.049;2.136.465.543;2.584.436,21;0,1083%;140,29%;1.508.962;1,10%;1,00%
462.libquantum;691,407;75;0,11;40;0,06;158;0,23;312.265;451,64;1.976,36;2.529.827.948.984;128.375.772;185.673;0,0051%;331.451.275.738;11.471.946;16.592;0,0035%;2.861.601.872.827;77.252.104;111.731,74;0,0027%;2.861.279.224.722;139.847.718;202.265,41;0,0049%;81,05%;90.534;0,00%;2,50%
464.h264ref;1310,727;1.336;1,02;566;0,43;104.845;79,99;367.467;280,35;3,50;2.848.791.688.527;744.348.505;567.890;0,0261%;1.142.423.897.194;620.591.471;473.471;0,0543%;3.991.027.878.095;383.471.041;292.563,62;0,0096%;3.991.215.585.721;1.364.939.976;1.041.361,00;0,0342%;255,93%;748.797;0,00%;4,50%
470.lbm;494,989;693;1,40;684;1,38;7;0,01;104.696;211,51;14.956,57;1.683.350.983.506;16.109.718;32.546;0,0010%;107.463.856.679;918.964.157;1.856.535;0,8551%;1.790.734.038.702;468.007.170;945.490,04;0,0261%;1.790.814.840.185;935.073.875;1.889.080,11;0,0522%;99,79%;943.590;0,30%;0,00%
473.astar;786,287;1.073;1,36;60;0,08;1.116.625;1.420,12;1.358.574;1.727,83;1,22;967.072.893.553;3.883.538.904;4.939.086;0,4016%;306.516.077.923;3.062.955.275;3.895.467;0,9993%;1.273.079.478.643;1.588.200.962;2.019.874,37;0,1248%;1.273.588.971.476;6.946.494.179;8.834.553,01;0,5454%;337,21%;6.814.679;24,60%;40,00%
482.sphinx3;1408,159;6.648;4,72;6.113;4,34;14.224.690;10.101,62;18.139.657;12.881,82;1,28;4.107.665.364.628;3.537.046.781;2.511.823;0,0861%;851.096.326.369;310.978.556;220.841;0,0365%;4.953.880.568.283;1.327.102.231;942.437,77;0,0268%;4.958.761.690.997;3.848.025.337;2.732.663,95;0,0776%;189,67%;1.790.226;3,00%;8,00%
483.xalancbmk;1287,433;19.600;15,22;16.562;12,86;135.155.562;104.980,66;150.452.346;116.862,27;1,11;2.736.899.807.457;28.566.659.788;22.188.852;1,0438%;1.750.443.362.680;2.102.953.978;1.633.447;0,1201%;4.462.041.296.798;1.717.824.606;1.334.302,14;0,0385%;4.487.343.170.137;30.669.613.766;23.822.298,92;0,6835%;1675,31%;22.487.997;19,80%;305,00%